    6  452    0
    .2060174E-02    .2756842E+01    .5184765E+01    .3325196E+01
    .3863125E-02    .9839057E+00    .6038566E+01    .3325196E+01
    .3863125E-02   -.9839057E+00    .6038566E+01    .3325196E+01
    .2060174E-02   -.2756842E+01    .5184765E+01    .3325196E+01
   -.1234355E-02   -.3983753E+01    .3646268E+01    .3325196E+01
    .4284765E-03    .2756842E+01    .5184765E+01    .1306779E+01
    .3093670E-02    .9839057E+00    .6038566E+01    .1306779E+01
    .3093670E-02   -.9839057E+00    .6038566E+01    .1306779E+01
    .4284765E-03   -.2756842E+01    .5184765E+01    .1306779E+01
    .4284765E-03   -.2756842E+01   -.5184765E+01   -.1306779E+01
    .3093670E-02   -.9839057E+00   -.6038566E+01   -.1306779E+01
    .3093670E-02    .9839057E+00   -.6038566E+01   -.1306779E+01
    .4284765E-03    .2756842E+01   -.5184765E+01   -.1306779E+01
